fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,beat,Open,Close,Change (%),PnL,Cumulative PnL
2017-12-31,2018-02-01,0.9725,0.965,0.0075,0.7772,post-market,True,166.47,160.5,-3.5862317534690926,-596.9999999999999,-596.9999999999999
2018-03-31,2018-05-01,0.6825,0.6725,0.01,1.487,post-market,True,175.25,176.57,0.7532097004279562,131.99999999999932,-465.00000000000057
2018-06-30,2018-07-31,0.585,0.545,0.04,7.3394,post-market,True,199.13,201.5,1.1901772711294152,237.00000000000045,-228.0000000000001
2018-09-30,2018-11-01,0.73,0.7,0.03,4.2857,post-market,True,209.55,207.48,-0.9878310665712342,-207.00000000000216,-435.0000000000023
2018-12-31,2019-01-29,1.05,1.04,0.01,0.9615,post-market,True,163.25,165.25,1.2251148545176112,200.0,-235.00000000000227
2019-03-31,2019-04-30,0.62,0.59,0.03,5.0847,post-market,True,209.88,210.52,0.3049361539927648,64.00000000000148,-171.0000000000008
2019-06-30,2019-07-30,0.55,0.53,0.02,3.7736,post-market,True,216.32,213.04,-1.5162721893491131,-328.0000000000001,-499.0000000000009
2019-09-30,2019-10-30,0.76,0.71,0.05,7.0423,post-market,True,247.19,248.76,0.6351389619321143,156.99999999999932,-342.0000000000016
2019-12-31,2020-01-28,1.25,1.14,0.11,9.6491,post-market,True,324.52,324.34,-0.055466535190437205,-18.000000000000682,-360.0000000000023
2020-03-31,2020-04-30,0.64,0.56,0.08,14.2857,post-market,True,286.29,289.07,0.9710433476544665,277.99999999999727,-82.000000000005
2020-06-30,2020-07-30,0.65,0.51,0.14,27.451,post-market,True,411.5,425.04,3.290400972053468,1354.000000000002,1271.999999999997
2020-09-30,2020-10-29,0.73,0.7,0.03,4.2857,post-market,True,111.04,108.86,-1.9632564841498619,-218.00000000000068,1053.9999999999964
2020-12-31,2021-01-27,1.68,1.41,0.27,19.1489,post-market,True,139.47,137.09,-1.7064601706460139,-237.99999999999955,815.9999999999968
2021-03-31,2021-04-28,1.4,0.99,0.41,41.4141,post-market,True,136.47,133.48,-2.19095771964535,-299.0000000000009,516.9999999999959
2021-06-30,2021-07-27,1.3,1.01,0.29,28.7129,post-market,True,144.84,144.98,0.09665838166251474,13.999999999998636,530.9999999999945
2021-09-30,2021-10-28,1.24,1.24,0,0,post-market,False,147.19,149.8,1.7732182892859665,-261.00000000000136,269.9999999999932
2021-12-31,2022-01-27,2.1,1.89,0.21,11.1111,post-market,True,165.71,170.33,2.7880031380121926,462.00000000000045,731.9999999999936
2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937,post-market,True,161.84,157.65,-2.5889767671774577,-418.9999999999998,312.99999999999386
2022-06-30,2022-07-28,1.2,1.16,0.04,3.4483,post-market,True,161.24,162.51,0.787645745472576,126.99999999999818,439.99999999999204
2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748,post-market,True,148.08,155.74,5.172879524581305,765.9999999999997,1205.9999999999918
2022-12-31,2023-02-02,1.88,1.94,-0.06,-3.0928,post-market,False,148.03,154.5,4.370735661690197,-646.9999999999999,558.9999999999919
2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937,post-market,True,171.0,173.57,1.5029239766081832,256.9999999999993,815.9999999999912
2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824,post-market,True,185.52,181.99,-1.902759810263045,-353.0000000000001,462.99999999999113
2023-09-30,2023-11-02,1.46,1.39,0.07,5.036,post-market,True,174.24,176.65,1.3831496786042219,240.99999999999966,703.9999999999908
